macro_region,Agriculture,Mining,Consumer Goods,Heavy Industries,Equipment Goods,Electricity production,Construction,Transport,Warehousing,Services
USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU-27,0.027199613183944885,0.012494751534998474,0.001688318578952747,0.0015207763162313748,0.0012400301206148432,0.0018976005268119857,0.05342264236592394,0.0019448508595353046,0.0020191433606336173,0.0018515183528269405
Europe_Non_EU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,1.7286359601969432,0.32041808311399844,0.09017896240613509,0.21107050268562377,0.11167851215768136,0.20824952598896707,1.1254126656750953,0.10625800525322605,0.11497975043507917,0.04582121780821828
China,1.3167812910409644,0.7909167178164305,0.4816253722351136,0.48158459107447016,0.3704563165927053,0.5891281738283086,1.442262021094783,0.5792564218177411,0.6493503451478816,0.11483986267511828
India,2.972321104052847,1.7054267619194796,0.7951467911015094,0.7777503206983053,0.6055453348417628,0.9525817525840558,4.332698932505221,0.9399536468232605,1.0229190396754098,0.22344783444184624
South Korea,2.728148012067117,0.4238373909646014,0.23352946097863425,0.4617753449967313,0.25951903179187663,0.4710517697054033,0.8929400231207746,0.2780342321062851,0.3063525020168565,0.05673781952717845
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia_NZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,2.71595825333827,0.8561277980419482,0.3477176079755919,0.38171593020389066,0.2793669400447453,0.5436919300711106,3.183850263926308,0.6697915267132288,1.223572076240044,0.633604315555168
South Africa,2.040717706080055,0.21510017116900282,0.1400426170186942,0.23510433696997646,0.14099364891569005,0.3525203998932408,1.1649651235461813,0.4561411030264817,1.051942818641718,0.6063333049083852
Argentina,1.595965006649422,0.5943346987462526,0.4363572964654103,0.4472777313597847,0.3394721291269609,0.6162260312530526,1.277531714407381,0.7290386929363676,1.2009978947064806,0.4921255301662787
Indonesia,3.56991780773026,1.8481760800208904,0.6820089759617566,0.6662932526463865,0.5191069662022935,0.8240683722528003,5.704005011590342,0.8275285745950831,0.9413225012728057,0.29852221554687547
Other,2.7185279910090947,0.693937021386336,0.3021349028888302,0.452792593116184,0.28513509004462595,0.5021792056494654,1.969229321974601,0.389901333100421,0.4869132583095561,0.15804483616085457
