Region,Sector,Value
USA,Power Supply,2.313485890223312
EU-15,Power Supply,1.5653686815996566
EU-27,Power Supply,2.106950907594316
Europe_Non_EU,Power Supply,2.7602428949929
Japan,Power Supply,0.77281955525913
China,Power Supply,2.5629379242841095
India,Power Supply,3.6856171554981443
South Korea,Power Supply,1.8917551413519291
Canada,Power Supply,0.45676929633972496
Australia_NZ,Power Supply,2.2015551020096558
Mexico,Power Supply,2.522067604062237
Russia,Power Supply,2.2584076013122947
Brazil,Power Supply,3.9297922196885864
South Africa,Power Supply,3.8428702700453794
Argentina,Power Supply,4.341895902004475
Indonesia,Power Supply,2.7069323007751382
Other,Power Supply,2.214324020649921
USA,Ferrous metals,1.806869711098448
EU-15,Ferrous metals,2.529095582583002
EU-27,Ferrous metals,3.0965843643586526
Europe_Non_EU,Ferrous metals,6.566420510967913
Japan,Ferrous metals,1.975895718346965
China,Ferrous metals,2.553408004236352
India,Ferrous metals,3.8171393463583234
South Korea,Ferrous metals,3.9075929517482204
Canada,Ferrous metals,0.6457204442608786
Australia_NZ,Ferrous metals,2.1344428413366456
Mexico,Ferrous metals,2.6227288919553717
Russia,Ferrous metals,2.187886787631915
Brazil,Ferrous metals,2.019609405065734
South Africa,Ferrous metals,1.9738563319052116
Argentina,Ferrous metals,2.462069547435175
Indonesia,Ferrous metals,2.4759798706667624
Other,Ferrous metals,3.547905594703691
USA,Non-metallic minerals,1.1400707570440805
EU-15,Non-metallic minerals,0.7759140564114593
EU-27,Non-metallic minerals,1.110786817020209
Europe_Non_EU,Non-metallic minerals,1.6308946591007365
Japan,Non-metallic minerals,0.6304669885927491
China,Non-metallic minerals,1.9835163392505786
India,Non-metallic minerals,2.874825606463069
South Korea,Non-metallic minerals,1.502140318226505
Canada,Non-metallic minerals,0.2443566309127705
Australia_NZ,Non-metallic minerals,1.1340069399723691
Mexico,Non-metallic minerals,1.5205911452530256
Russia,Non-metallic minerals,1.8424635431681091
Brazil,Non-metallic minerals,1.1781589097643321
South Africa,Non-metallic minerals,0.772174082912181
Argentina,Non-metallic minerals,1.7681869870655056
Indonesia,Non-metallic minerals,1.7544271075616305
Other,Non-metallic minerals,1.5096409923026106
USA,Construction,3.417479932306641
EU-15,Construction,1.204338261672319
EU-27,Construction,1.7320086289362298
Europe_Non_EU,Construction,1.5075824982568387
Japan,Construction,3.7415258838945684
China,Construction,4.598159789023426
India,Construction,13.61084440139407
South Korea,Construction,3.1246803630888778
Canada,Construction,0.678850064463367
Australia_NZ,Construction,2.017815687283171
Mexico,Construction,4.486612799219869
Russia,Construction,0.5833509522198801
Brazil,Construction,10.20696425868168
South Africa,Construction,3.8931292974179676
Argentina,Construction,4.307921859809582
Indonesia,Construction,17.93771621214309
Other,Construction,6.3869382933643095
USA,Land transport,2.313485890223312
