macro_region,Power Supply,Ferrous metals,Non-metallic minerals,Construction,Land transport,Water transport,Warehousing,Agriculture,Market Services,Non Market Services
USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU-27,0.006057430081900852,0.005408674438083427,0.0051508024442626305,0.16026792709777185,0.006057430081900852,0.005723113826958445,0.006057430081900852,0.08159883955183467,0.01632934892050006,0.0003343162549424074
Europe_Non_EU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,0.3449392513052375,0.9705590100054206,0.275122258188209,3.376237997025286,0.3449392513052375,0.3056913979868985,0.3449392513052375,5.185907880590829,0.3731431069556255,0.039247853318339
China,1.9480510354436449,1.793636331934863,1.469365542412211,4.326786063284349,1.9480510354436449,1.6326283804580124,1.9480510354436449,3.9503438731228933,0.718136109090432,0.3154226549856325
India,3.0687571190262295,2.870253400629903,2.4258715660724013,12.998096797515664,3.0687571190262295,2.6954128511915574,3.0687571190262295,8.91696331215854,1.6376862421419438,0.373344267834672
South Korea,0.9190575060505695,2.0680891800789905,0.712462762307698,2.678820069362324,0.9190575060505695,0.791625291452998,0.9190575060505695,8.184444036201352,0.3832081611470345,0.1274322145975715
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia_NZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,3.6707162287201314,1.473591943438167,1.060833380264518,9.551550791778924,3.6707162287201314,1.1787037558494646,3.6707162287201314,8.147874760014808,3.210426367125846,2.492012472870667
South Africa,3.1558284559251537,1.0206734380469111,0.4272486620909315,3.4948953706385435,3.1558284559251537,0.4747207356565905,3.1558284559251537,6.122153118240166,2.775892023906904,2.6811077202685634
Argentina,3.6029936841194417,1.6825783153696001,1.3312595485385401,3.832595143222143,3.6029936841194417,1.4791772761539332,3.6029936841194417,4.787895019948266,2.3053133635309995,2.1238164079655086
Indonesia,2.823967503818417,2.4576869011976297,2.0807053503918,17.112015034771023,2.823967503818417,2.3118948337686653,2.823967503818417,10.70975342319078,2.1746272698721274,0.5120726700497515
Other,1.4607397749286684,1.9162773636905641,0.9217675003388042,5.907687965923803,1.4607397749286684,1.0241861114875603,1.4607397749286684,8.155583973027284,0.985849862006583,0.4365536634411081
