Region,Sector,Value
USA,Power Supply,0.0
EU-15,Power Supply,0.0
EU-27,Power Supply,0.006057430081900852
Europe_Non_EU,Power Supply,0.0
Japan,Power Supply,0.3449392513052375
China,Power Supply,1.9480510354436449
India,Power Supply,3.0687571190262295
South Korea,Power Supply,0.9190575060505695
Canada,Power Supply,0.0
Australia_NZ,Power Supply,0.0
Mexico,Power Supply,0.0
Russia,Power Supply,0.0
Brazil,Power Supply,3.6707162287201314
South Africa,Power Supply,3.1558284559251537
Argentina,Power Supply,3.6029936841194417
Indonesia,Power Supply,2.823967503818417
Other,Power Supply,1.4607397749286684
USA,Ferrous metals,0.0
EU-15,Ferrous metals,0.0
EU-27,Ferrous metals,0.005408674438083427
Europe_Non_EU,Ferrous metals,0.0
Japan,Ferrous metals,0.9705590100054206
China,Ferrous metals,1.793636331934863
India,Ferrous metals,2.870253400629903
South Korea,Ferrous metals,2.0680891800789905
Canada,Ferrous metals,0.0
Australia_NZ,Ferrous metals,0.0
Mexico,Ferrous metals,0.0
Russia,Ferrous metals,0.0
Brazil,Ferrous metals,1.473591943438167
South Africa,Ferrous metals,1.0206734380469111
Argentina,Ferrous metals,1.6825783153696001
Indonesia,Ferrous metals,2.4576869011976297
Other,Ferrous metals,1.9162773636905641
USA,Non-metallic minerals,0.0
EU-15,Non-metallic minerals,0.0
EU-27,Non-metallic minerals,0.0051508024442626305
Europe_Non_EU,Non-metallic minerals,0.0
Japan,Non-metallic minerals,0.275122258188209
China,Non-metallic minerals,1.469365542412211
India,Non-metallic minerals,2.4258715660724013
South Korea,Non-metallic minerals,0.712462762307698
Canada,Non-metallic minerals,0.0
Australia_NZ,Non-metallic minerals,0.0
Mexico,Non-metallic minerals,0.0
Russia,Non-metallic minerals,0.0
Brazil,Non-metallic minerals,1.060833380264518
South Africa,Non-metallic minerals,0.4272486620909315
Argentina,Non-metallic minerals,1.3312595485385401
Indonesia,Non-metallic minerals,2.0807053503918
Other,Non-metallic minerals,0.9217675003388042
USA,Construction,0.0
EU-15,Construction,0.0
EU-27,Construction,0.16026792709777185
