Region,Sector,Value
USA,Agriculture,0.0
EU-15,Agriculture,0.0
EU-27,Agriculture,0.02591782628894223
Europe_Non_EU,Agriculture,0.0
Japan,Agriculture,1.6009365686990638
China,Agriculture,1.2565346468617062
India,Agriculture,2.8390031407328973
South Korea,Agriculture,2.514559271803225
Canada,Agriculture,0.0
Australia_NZ,Agriculture,0.0
Mexico,Agriculture,0.0
Russia,Agriculture,0.0
Brazil,Agriculture,2.5722881657239376
South Africa,Agriculture,1.907032181306597
Argentina,Agriculture,1.5173984597974457
Indonesia,Agriculture,3.4048213945195025
Other,Agriculture,2.5333707024266485
USA,Mining,0.0
EU-15,Mining,0.0
EU-27,Mining,0.012494751534998474
Europe_Non_EU,Mining,0.0
Japan,Mining,0.32041808311399844
China,Mining,0.7909167178164305
India,Mining,1.7054267619194796
South Korea,Mining,0.4238373909646014
Canada,Mining,0.0
Australia_NZ,Mining,0.0
Mexico,Mining,0.0
Russia,Mining,0.0
Brazil,Mining,0.8561277980419482
South Africa,Mining,0.21510017116900282
Argentina,Mining,0.5943346987462526
Indonesia,Mining,1.8481760800208904
Other,Mining,0.693937021386336
USA,Consumer Goods,0.0
EU-15,Consumer Goods,0.0
EU-27,Consumer Goods,0.001688318578952747
Europe_Non_EU,Consumer Goods,0.0
Japan,Consumer Goods,0.09017896240613509
China,Consumer Goods,0.4816253722351136
India,Consumer Goods,0.7951467911015094
South Korea,Consumer Goods,0.23352946097863425
Canada,Consumer Goods,0.0
Australia_NZ,Consumer Goods,0.0
Mexico,Consumer Goods,0.0
Russia,Consumer Goods,0.0
Brazil,Consumer Goods,0.3477176079755919
South Africa,Consumer Goods,0.1400426170186942
Argentina,Consumer Goods,0.4363572964654103
Indonesia,Consumer Goods,0.6820089759617566
Other,Consumer Goods,0.3021349028888302
USA,Heavy Industries,0.0
EU-15,Heavy Industries,0.0
EU-27,Heavy Industries,0.0015207763162313748
Europe_Non_EU,Heavy Industries,0.0
Japan,Heavy Industries,0.21107050268562377
China,Heavy Industries,0.48158459107447016
India,Heavy Industries,0.7777503206983053
South Korea,Heavy Industries,0.4617753449967313
Canada,Heavy Industries,0.0
Australia_NZ,Heavy Industries,0.0
Mexico,Heavy Industries,0.0
Russia,Heavy Industries,0.0
Brazil,Heavy Industries,0.38171593020389066
South Africa,Heavy Industries,0.23510433696997646
Argentina,Heavy Industries,0.4472777313597847
Indonesia,Heavy Industries,0.6662932526463865
Other,Heavy Industries,0.452792593116184
USA,Equipment Goods,0.0
EU-15,Equipment Goods,0.0
EU-27,Equipment Goods,0.0012400301206148432
Europe_Non_EU,Equipment Goods,0.0
Japan,Equipment Goods,0.11167851215768136
China,Equipment Goods,0.3704563165927053
India,Equipment Goods,0.6055453348417628
South Korea,Equipment Goods,0.25951903179187663
Canada,Equipment Goods,0.0
Australia_NZ,Equipment Goods,0.0
Mexico,Equipment Goods,0.0
Russia,Equipment Goods,0.0
Brazil,Equipment Goods,0.2793669400447453
South Africa,Equipment Goods,0.14099364891569005
Argentina,Equipment Goods,0.3394721291269609
Indonesia,Equipment Goods,0.5191069662022935
Other,Equipment Goods,0.28513509004462595
USA,Electricity production,0.0
EU-15,Electricity production,0.0
EU-27,Electricity production,0.0018976005268119857
Europe_Non_EU,Electricity production,0.0
Japan,Electricity production,0.20824952598896707
China,Electricity production,0.5891281738283086
India,Electricity production,0.9525817525840558
South Korea,Electricity production,0.4710517697054033
Canada,Electricity production,0.0
Australia_NZ,Electricity production,0.0
Mexico,Electricity production,0.0
Russia,Electricity production,0.0
Brazil,Electricity production,0.5436919300711106
South Africa,Electricity production,0.3525203998932408
