Region,VMAX_p95_baseline,AgOnly,Ag80_20,Ag90_10,AgOnly__clipped,Ag80_20__clipped,Ag90_10__clipped,AgOnly__clip_ratio,Ag80_20__clip_ratio,Ag90_10__clip_ratio
USA,2.00855,0,0,0,0,0,0,,,
EU-15,2.00855,0,0,0,0,0,0,,,
EU-27,2.00855,0.0271996,0.024636,0.0259178,0.0271996,0.024636,0.0259178,1,1,1
Europe_Non_EU,2.00855,0,0,0,0,0,0,,,
Japan,2.00855,1.72864,1.47324,1.60094,1.72864,1.47324,1.60094,1,1,1
China,2.00855,1.31678,1.19629,1.25653,1.31678,1.19629,1.25653,1,1,1
India,2.00855,2.97232,2.70569,2.839,2.00855,2.00855,2.00855,0.675751,0.742344,0.707484
South Korea,2.00855,2.72815,2.30097,2.51456,2.00855,2.00855,2.00855,0.736231,0.872913,0.798767
Canada,2.00855,0,0,0,0,0,0,,,
Australia_NZ,2.00855,0,0,0,0,0,0,,,
Mexico,2.00855,0,0,0,0,0,0,,,
Russia,2.00855,0,0,0,0,0,0,,,
Brazil,2.00855,2.71596,2.42862,2.57229,2.00855,2.00855,2.00855,0.739536,0.827033,0.780841
South Africa,2.00855,2.04072,1.77335,1.90703,2.00855,1.77335,1.90703,0.984236,1,1
Argentina,2.00855,1.59597,1.43883,1.5174,1.59597,1.43883,1.5174,1,1,1
Indonesia,2.00855,3.56992,3.23972,3.40482,2.00855,2.00855,2.00855,0.562631,0.619975,0.589913
Other,2.00855,2.71853,2.34821,2.53337,2.00855,2.00855,2.00855,0.738837,0.855352,0.792836
