Model,Region,Variant,Raw_Agriculture,Clipped_at_p95,Clip_Ratio,VMAX_p95_baseline
DiRe,USA,AgOnly,0,0,,2.00855
DiRe,USA,Ag80_20,0,0,,2.00855
DiRe,USA,Ag90_10,0,0,,2.00855
DiRe,EU-15,AgOnly,0,0,,2.00855
DiRe,EU-15,Ag80_20,0,0,,2.00855
DiRe,EU-15,Ag90_10,0,0,,2.00855
DiRe,EU-27,AgOnly,0.0271996,0.0271996,1,2.00855
DiRe,EU-27,Ag80_20,0.024636,0.024636,1,2.00855
DiRe,EU-27,Ag90_10,0.0259178,0.0259178,1,2.00855
DiRe,Europe_Non_EU,AgOnly,0,0,,2.00855
DiRe,Europe_Non_EU,Ag80_20,0,0,,2.00855
DiRe,Europe_Non_EU,Ag90_10,0,0,,2.00855
DiRe,Japan,AgOnly,1.72864,1.72864,1,2.00855
DiRe,Japan,Ag80_20,1.47324,1.47324,1,2.00855
DiRe,Japan,Ag90_10,1.60094,1.60094,1,2.00855
DiRe,China,AgOnly,1.31678,1.31678,1,2.00855
DiRe,China,Ag80_20,1.19629,1.19629,1,2.00855
DiRe,China,Ag90_10,1.25653,1.25653,1,2.00855
DiRe,India,AgOnly,2.97232,2.00855,0.675751,2.00855
DiRe,India,Ag80_20,2.70569,2.00855,0.742344,2.00855
DiRe,India,Ag90_10,2.839,2.00855,0.707484,2.00855
DiRe,South Korea,AgOnly,2.72815,2.00855,0.736231,2.00855
DiRe,South Korea,Ag80_20,2.30097,2.00855,0.872913,2.00855
DiRe,South Korea,Ag90_10,2.51456,2.00855,0.798767,2.00855
DiRe,Canada,AgOnly,0,0,,2.00855
DiRe,Canada,Ag80_20,0,0,,2.00855
DiRe,Canada,Ag90_10,0,0,,2.00855
DiRe,Australia_NZ,AgOnly,0,0,,2.00855
DiRe,Australia_NZ,Ag80_20,0,0,,2.00855
DiRe,Australia_NZ,Ag90_10,0,0,,2.00855
DiRe,Mexico,AgOnly,0,0,,2.00855
DiRe,Mexico,Ag80_20,0,0,,2.00855
DiRe,Mexico,Ag90_10,0,0,,2.00855
DiRe,Russia,AgOnly,0,0,,2.00855
DiRe,Russia,Ag80_20,0,0,,2.00855
DiRe,Russia,Ag90_10,0,0,,2.00855
DiRe,Brazil,AgOnly,2.71596,2.00855,0.739536,2.00855
DiRe,Brazil,Ag80_20,2.42862,2.00855,0.827033,2.00855
DiRe,Brazil,Ag90_10,2.57229,2.00855,0.780841,2.00855
DiRe,South Africa,AgOnly,2.04072,2.00855,0.984236,2.00855
DiRe,South Africa,Ag80_20,1.77335,1.77335,1,2.00855
DiRe,South Africa,Ag90_10,1.90703,1.90703,1,2.00855
DiRe,Argentina,AgOnly,1.59597,1.59597,1,2.00855
DiRe,Argentina,Ag80_20,1.43883,1.43883,1,2.00855
DiRe,Argentina,Ag90_10,1.5174,1.5174,1,2.00855
DiRe,Indonesia,AgOnly,3.56992,2.00855,0.562631,2.00855
DiRe,Indonesia,Ag80_20,3.23972,2.00855,0.619975,2.00855
DiRe,Indonesia,Ag90_10,3.40482,2.00855,0.589913,2.00855
DiRe,Other,AgOnly,2.71853,2.00855,0.738837,2.00855
DiRe,Other,Ag80_20,2.34821,2.00855,0.855352,2.00855
DiRe,Other,Ag90_10,2.53337,2.00855,0.792836,2.00855
