macro_region,Agriculture,Mining,Consumer Goods,Heavy Industries,Equipment Goods,Electricity production,Construction,Transport,Warehousing,Services
USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU-27,0.05439922636788977,0.021326710220743544,0.0,9.823695002697001e-05,3.43829325094395e-05,0.0001069721429174173,0.10684528473184789,7.429250109831276e-05,0.0002228775032949383,0.003703036705653881
Europe_Non_EU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,3.4572719203938864,0.44519367151638184,0.0,0.2649282864065568,0.09272490024229488,0.21949792883082184,2.2508253313501907,0.008721745181853112,0.026165235545559332,0.09164243561643656
China,2.633562582081929,0.536951272139733,0.0,0.12353172934196269,0.043236105269686936,0.1261180580281202,2.884524042189566,0.07009392333014056,0.21028176999042167,0.22967972535023656
India,5.944642208105694,1.6857892990763625,0.0,0.16928831792666724,0.05925091127433354,0.1681196677335521,8.665397865010442,0.08296539285214934,0.248896178556448,0.4468956688836925
South Korea,5.456296024134234,0.341034595399284,0.0,0.516429111531921,0.18075018903617232,0.43194501825220794,1.7858800462415492,0.028318269910571445,0.08495480973171433,0.1134756390543569
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia_NZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,5.43191650667654,0.957885192340239,0.0,0.15724135739948533,0.055034475089819866,0.3277747730392331,6.367700527852616,0.5537805495268149,1.6613416485804446,1.267208631110336
South Africa,4.08143541216011,0.12637907151778774,0.0,0.22606658131656363,0.07912330346079727,0.3991096590300121,2.3299302470923626,0.5958017156152363,1.7874051468457088,1.2126666098167704
Argentina,3.191930013298844,0.24199594075398798,0.0,0.13383572069754668,0.04684250224414133,0.2792044845402372,2.555063428814762,0.471959201770113,1.415877605310339,0.9842510603325574
Indonesia,7.13983561546052,2.2167394664298348,0.0,0.14361201935460172,0.0502642067741106,0.15824896274357156,11.408010023180683,0.11379392667772256,0.3413817800331677,0.5970444310937509
Other,5.437055982018189,0.7323949314206333,0.0,0.37886090032447994,0.13260131511356799,0.344327361673614,3.938458643949202,0.09701192520913512,0.2910357756274054,0.31608967232170915
