Region,Sector,Value
USA,Agriculture,0.0
EU-15,Agriculture,0.0
EU-27,Agriculture,0.05439922636788977
Europe_Non_EU,Agriculture,0.0
Japan,Agriculture,3.4572719203938864
China,Agriculture,2.633562582081929
India,Agriculture,5.944642208105694
South Korea,Agriculture,5.456296024134234
Canada,Agriculture,0.0
Australia_NZ,Agriculture,0.0
Mexico,Agriculture,0.0
Russia,Agriculture,0.0
Brazil,Agriculture,5.43191650667654
South Africa,Agriculture,4.08143541216011
Argentina,Agriculture,3.191930013298844
Indonesia,Agriculture,7.13983561546052
Other,Agriculture,5.437055982018189
USA,Mining,0.0
EU-15,Mining,0.0
EU-27,Mining,0.021326710220743544
Europe_Non_EU,Mining,0.0
Japan,Mining,0.44519367151638184
China,Mining,0.536951272139733
India,Mining,1.6857892990763625
South Korea,Mining,0.341034595399284
Canada,Mining,0.0
Australia_NZ,Mining,0.0
Mexico,Mining,0.0
Russia,Mining,0.0
Brazil,Mining,0.957885192340239
South Africa,Mining,0.12637907151778774
Argentina,Mining,0.24199594075398798
Indonesia,Mining,2.2167394664298348
Other,Mining,0.7323949314206333
USA,Consumer Goods,0.0
EU-15,Consumer Goods,0.0
EU-27,Consumer Goods,0.0
Europe_Non_EU,Consumer Goods,0.0
Japan,Consumer Goods,0.0
China,Consumer Goods,0.0
India,Consumer Goods,0.0
South Korea,Consumer Goods,0.0
Canada,Consumer Goods,0.0
Australia_NZ,Consumer Goods,0.0
Mexico,Consumer Goods,0.0
Russia,Consumer Goods,0.0
Brazil,Consumer Goods,0.0
South Africa,Consumer Goods,0.0
Argentina,Consumer Goods,0.0
Indonesia,Consumer Goods,0.0
Other,Consumer Goods,0.0
USA,Heavy Industries,0.0
EU-15,Heavy Industries,0.0
EU-27,Heavy Industries,9.823695002697001e-05
Europe_Non_EU,Heavy Industries,0.0
Japan,Heavy Industries,0.2649282864065568
China,Heavy Industries,0.12353172934196269
India,Heavy Industries,0.16928831792666724
South Korea,Heavy Industries,0.516429111531921
Canada,Heavy Industries,0.0
Australia_NZ,Heavy Industries,0.0
Mexico,Heavy Industries,0.0
Russia,Heavy Industries,0.0
Brazil,Heavy Industries,0.15724135739948533
South Africa,Heavy Industries,0.22606658131656363
Argentina,Heavy Industries,0.13383572069754668
Indonesia,Heavy Industries,0.14361201935460172
Other,Heavy Industries,0.37886090032447994
USA,Equipment Goods,0.0
EU-15,Equipment Goods,0.0
EU-27,Equipment Goods,3.43829325094395e-05
Europe_Non_EU,Equipment Goods,0.0
Japan,Equipment Goods,0.09272490024229488
China,Equipment Goods,0.043236105269686936
India,Equipment Goods,0.05925091127433354
South Korea,Equipment Goods,0.18075018903617232
Canada,Equipment Goods,0.0
Australia_NZ,Equipment Goods,0.0
Mexico,Equipment Goods,0.0
Russia,Equipment Goods,0.0
Brazil,Equipment Goods,0.055034475089819866
South Africa,Equipment Goods,0.07912330346079727
Argentina,Equipment Goods,0.04684250224414133
Indonesia,Equipment Goods,0.0502642067741106
Other,Equipment Goods,0.13260131511356799
USA,Electricity production,0.0
EU-15,Electricity production,0.0
EU-27,Electricity production,0.0001069721429174173
Europe_Non_EU,Electricity production,0.0
Japan,Electricity production,0.21949792883082184
China,Electricity production,0.1261180580281202
India,Electricity production,0.1681196677335521
South Korea,Electricity production,0.43194501825220794
Canada,Electricity production,0.0
Australia_NZ,Electricity production,0.0
Mexico,Electricity production,0.0
Russia,Electricity production,0.0
Brazil,Electricity production,0.3277747730392331
South Africa,Electricity production,0.3991096590300121
Argentina,Electricity production,0.2792044845402372
Indonesia,Electricity production,0.15824896274357156
Other,Electricity production,0.344327361673614
