macro_region,Power Supply,Ferrous metals,Non-metallic minerals,Construction,Land transport,Water transport,Warehousing,Agriculture,Market Services,Non Market Services
USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU-27,0.0006686325098848148,0.0005157439876415926,0.0,0.3205358541955437,0.0006686325098848148,0.0,0.0006686325098848148,0.16319767910366934,0.03265869784100012,0.0006686325098848148
Europe_Non_EU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,0.078495706636678,1.390873503634423,0.0,6.752475994050572,0.078495706636678,0.0,0.078495706636678,10.371815761181658,0.746286213911251,0.078495706636678
China,0.630845309971265,0.6485415790453041,0.0,8.653572126568697,0.630845309971265,0.0,0.630845309971265,7.9006877462457865,1.436272218180864,0.630845309971265
India,0.746688535669344,0.888763669115003,0.0,25.99619359503133,0.746688535669344,0.0,0.746688535669344,17.83392662431708,3.2753724842838876,0.746688535669344
South Korea,0.254864429195143,2.711252835542585,0.0,5.357640138724648,0.254864429195143,0.0,0.254864429195143,16.368888072402704,0.766416322294069,0.254864429195143
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia_NZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,4.984024945741334,0.825517126347298,0.0,19.103101583557848,4.984024945741334,0.0,4.984024945741334,16.295749520029617,6.420852734251692,4.984024945741334
South Africa,5.362215440537127,1.186849551911959,0.0,6.989790741277087,5.362215440537127,0.0,5.362215440537127,12.244306236480332,5.551784047813808,5.362215440537127
Argentina,4.247632815931017,0.70263753366212,0.0,7.665190286444286,4.247632815931017,0.0,4.247632815931017,9.575790039896532,4.610626727061999,4.247632815931017
Indonesia,1.024145340099503,0.753963101611659,0.0,34.224030069542046,1.024145340099503,0.0,1.024145340099503,21.41950684638156,4.349254539744255,1.024145340099503
Other,0.8731073268822162,1.98901972670352,0.0,11.815375931847607,0.8731073268822162,0.0,0.8731073268822162,16.311167946054567,1.971699724013166,0.8731073268822162
