Region,Sector,Value
USA,Power Supply,0.0
EU-15,Power Supply,0.0
EU-27,Power Supply,0.0006686325098848148
Europe_Non_EU,Power Supply,0.0
Japan,Power Supply,0.078495706636678
China,Power Supply,0.630845309971265
India,Power Supply,0.746688535669344
South Korea,Power Supply,0.254864429195143
Canada,Power Supply,0.0
Australia_NZ,Power Supply,0.0
Mexico,Power Supply,0.0
Russia,Power Supply,0.0
Brazil,Power Supply,4.984024945741334
South Africa,Power Supply,5.362215440537127
Argentina,Power Supply,4.247632815931017
Indonesia,Power Supply,1.024145340099503
Other,Power Supply,0.8731073268822162
USA,Ferrous metals,0.0
EU-15,Ferrous metals,0.0
EU-27,Ferrous metals,0.0005157439876415926
Europe_Non_EU,Ferrous metals,0.0
Japan,Ferrous metals,1.390873503634423
China,Ferrous metals,0.6485415790453041
India,Ferrous metals,0.888763669115003
South Korea,Ferrous metals,2.711252835542585
Canada,Ferrous metals,0.0
Australia_NZ,Ferrous metals,0.0
Mexico,Ferrous metals,0.0
Russia,Ferrous metals,0.0
Brazil,Ferrous metals,0.825517126347298
South Africa,Ferrous metals,1.186849551911959
Argentina,Ferrous metals,0.70263753366212
Indonesia,Ferrous metals,0.753963101611659
Other,Ferrous metals,1.98901972670352
USA,Non-metallic minerals,0.0
EU-15,Non-metallic minerals,0.0
EU-27,Non-metallic minerals,0.0
Europe_Non_EU,Non-metallic minerals,0.0
Japan,Non-metallic minerals,0.0
China,Non-metallic minerals,0.0
India,Non-metallic minerals,0.0
South Korea,Non-metallic minerals,0.0
Canada,Non-metallic minerals,0.0
Australia_NZ,Non-metallic minerals,0.0
Mexico,Non-metallic minerals,0.0
Russia,Non-metallic minerals,0.0
Brazil,Non-metallic minerals,0.0
South Africa,Non-metallic minerals,0.0
Argentina,Non-metallic minerals,0.0
Indonesia,Non-metallic minerals,0.0
Other,Non-metallic minerals,0.0
USA,Construction,0.0
EU-15,Construction,0.0
EU-27,Construction,0.3205358541955437
Europe_Non_EU,Construction,0.0
Japan,Construction,6.752475994050572
China,Construction,8.653572126568697
India,Construction,25.99619359503133
