macro_region,Power Supply,Ferrous metals,Non-metallic minerals,Construction,Land transport,Water transport,Warehousing,Agriculture,Market Services,Non Market Services
USA,2.093481209237556,1.333597908108735,0.0,6.834959864613282,2.093481209237556,0.0,2.093481209237556,11.184547107700034,2.578096480821316,2.093481209237556
EU-15,1.4064839045071815,3.5063630523430858,0.0,2.408676523344638,1.4064839045071815,0.0,1.4064839045071815,19.47455757325402,1.5137355859134627,1.4064839045071815
EU-27,1.7454866662548338,3.9715950946768865,0.0,3.4640172578724595,1.7454866662548338,0.0,1.7454866662548338,22.506364602104455,1.9260671587478702,1.7454866662548338
Europe_Non_EU,1.896275436428606,9.871051703734354,0.0,3.0151649965136773,1.896275436428606,0.0,1.896275436428606,51.85838562105362,2.017645769619255,1.896275436428606
Japan,0.144601358089929,2.690857459508432,0.0,7.483051767789137,0.144601358089929,0.0,0.144601358089929,17.27172889443394,0.8791694058502991,0.144601358089929
China,0.718061761344712,1.139783329971546,0.0,9.196319578046852,0.718061761344712,0.0,0.718061761344712,10.674058863587133,1.5694778518216492,0.718061761344712
India,0.982732963300578,1.884627479790509,0.0,27.22168880278814,0.982732963300578,0.0,0.982732963300578,23.549916606079414,3.611542212065836,0.982732963300578
South Korea,0.445420686644958,4.810905267043431,0.0,6.2493607261777555,0.445420686644958,0.0,0.445420686644958,27.413052558794632,1.0280417940314621,0.445420686644958
Canada,0.37052385731773696,0.8027276266962161,0.0,1.357700128926734,0.37052385731773696,0.0,0.37052385731773696,4.887013223036261,0.471094103765225,0.37052385731773696
Australia_NZ,1.883094781858492,2.000871802728553,0.0,4.035631374566342,1.883094781858492,0.0,1.883094781858492,13.01079946140165,2.107763915038569,1.883094781858492
Mexico,1.665043774228863,2.204275493404692,0.0,8.973225598439738,1.665043774228863,0.0,1.665043774228863,16.38213824771348,2.404187175521094,1.665043774228863
Russia,0.422451773362124,0.690846488927612,0.0,1.1667019044397602,0.422451773362124,0.0,0.422451773362124,4.2593705778730575,0.49898904533669797,0.422451773362124
Brazil,5.2414535287897674,1.682900990602803,0.0,20.41392851736336,5.2414535287897674,0.0,5.2414535287897674,21.37323231431033,6.784908295291076,5.2414535287897674
South Africa,5.969798133619246,2.403364497986061,0.0,7.786258594835935,5.969798133619246,0.0,5.969798133619246,19.044095807498383,6.1812931704090115,5.969798133619246
Argentina,4.754487388307826,1.387765120739339,0.0,8.615843719619164,4.754487388307826,0.0,4.754487388307826,13.742853342367889,5.164395458380499,4.754487388307826
Indonesia,1.515137695857765,1.443105526210264,0.0,35.87543242428618,1.515137695857765,0.0,1.515137695857765,25.948691133519734,4.958742857179894,1.515137695857765
Other,1.0738902806273736,4.07652920480216,0.0,12.773876586728619,1.0738902806273736,0.0,1.0738902806273736,27.333376714704478,2.249258362640635,1.0738902806273736
