macro_region,Agriculture,Mining,Consumer Goods,Heavy Industries,Equipment Goods,Electricity production,Construction,Transport,Warehousing,Services
USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU-27,0.0,0.0036627928492534052,0.003376637157905494,0.0029433156824357795,0.002445677308720247,0.003688228910706554,0.0,0.0038154092179722965,0.0038154092179722965,0.0
Europe_Non_EU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,0.0,0.19564249471161502,0.18035792481227017,0.15721271896469072,0.13063212407306785,0.19700112314711232,0.0,0.203794265324599,0.20379426532459902,0.0
China,0.0,1.044882163493128,0.9632507444702272,0.8396374528069777,0.6976765279157237,1.052138289628497,0.0,1.0884189203053416,1.0884189203053416,0.0
India,0.0,1.7250642247625967,1.5902935822030189,1.3862123234699433,1.151839758409192,1.7370438374345594,0.0,1.7969419007943717,1.7969419007943714,0.0
South Korea,0.0,0.5066401865299187,0.4670589219572685,0.4071215784615416,0.3382878745475809,0.5101585211585987,0.0,0.5277501943019988,0.5277501943019987,0.0
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia_NZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,0.0,0.7543704037436574,0.6954352159511838,0.606190503008296,0.5036994049996708,0.7596090871029881,0.0,0.7858025038996429,0.785802503899643,0.0
South Africa,0.0,0.30382127082021787,0.2800852340373884,0.24414209262338932,0.20286399437058286,0.30593114075646943,0.0,0.316480490437727,0.316480490437727,0.0
Argentina,0.0,0.9466734567385172,0.8727145929308207,0.7607197420220227,0.6321017560097805,0.953247577965868,0.0,0.9861181841026222,0.9861181841026222,0.0
Indonesia,0.0,1.479612693611946,1.3640179519235132,1.1889744859381712,0.9879497256304762,1.489887781762029,0.0,1.5412632225124436,1.5412632225124436,0.0
Other,0.0,0.6554791113520386,0.6042698057776604,0.526724285907888,0.4376688649756839,0.6600310496253167,0.0,0.6827907409917069,0.6827907409917069,0.0
