macro_region,Agriculture,Mining,Consumer Goods,Heavy Industries,Equipment Goods,Electricity production,Construction,Transport,Warehousing,Services
USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU-27,0.0038154092179722965,0.010988378547760216,0.010129911473716481,0.00882994704730734,0.007337031926160741,0.011064686732119664,0.0,0.01144622765391689,0.01144622765391689,0.0
Europe_Non_EU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,0.20379426532459902,0.586927484134845,0.5410737744368106,0.4716381568940722,0.3918963722192035,0.591003369441337,0.0,0.611382795973797,0.611382795973797,0.0
China,1.0884189203053416,3.134646490479384,2.8897522334106815,2.518912358420933,2.093029583747171,3.1564148688854905,0.0,3.265256760916025,3.265256760916025,0.0
India,1.7969419007943714,5.175192674287789,4.7708807466090555,4.15863697040983,3.455519275227576,5.211131512303677,0.0,5.390825702383115,5.390825702383115,0.0
South Korea,0.5277501943019987,1.5199205595897562,1.4011767658718055,1.2213647353846249,1.0148636236427429,1.530475563475796,0.0,1.583250582905996,1.583250582905996,0.0
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia_NZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,0.785802503899643,2.2631112112309717,2.0863056478535515,1.818571509024888,1.5110982149990129,2.278827261308965,0.0,2.3574075116989293,2.3574075116989293,0.0
South Africa,0.316480490437727,0.9114638124606537,0.840255702112165,0.7324262778701678,0.6085919831117487,0.9177934222694083,0.0,0.949441471313181,0.949441471313181,0.0
Argentina,0.9861181841026222,2.8400203702155515,2.6181437787924615,2.2821592260660686,1.896305268029341,2.8597427338976042,0.0,2.9583545523078665,2.9583545523078665,0.0
Indonesia,1.5412632225124436,4.438838080835838,4.092053855770539,3.566923457814514,2.9638491768914283,4.4696633452860866,0.0,4.623789667537331,4.623789667537331,0.0
Other,0.6827907409917069,1.9664373340561159,1.8128094173329812,1.5801728577236642,1.3130065949270517,1.9800931488759501,0.0,2.0483722229751207,2.0483722229751207,0.0
