Region,Sector,Value
USA,Power Supply,0.0
EU-15,Power Supply,0.0
EU-27,Power Supply,0.01144622765391689
Europe_Non_EU,Power Supply,0.0
Japan,Power Supply,0.611382795973797
China,Power Supply,3.265256760916025
India,Power Supply,5.390825702383115
South Korea,Power Supply,1.583250582905996
Canada,Power Supply,0.0
Australia_NZ,Power Supply,0.0
Mexico,Power Supply,0.0
Russia,Power Supply,0.0
Brazil,Power Supply,2.3574075116989293
South Africa,Power Supply,0.949441471313181
Argentina,Power Supply,2.9583545523078665
Indonesia,Power Supply,4.623789667537331
Other,Power Supply,2.0483722229751207
USA,Ferrous metals,0.0
EU-15,Ferrous metals,0.0
EU-27,Ferrous metals,0.010301604888525261
Europe_Non_EU,Ferrous metals,0.0
Japan,Ferrous metals,0.550244516376418
China,Ferrous metals,2.938731084824422
India,Ferrous metals,4.851743132144803
South Korea,Ferrous metals,1.424925524615396
Canada,Ferrous metals,0.0
Australia_NZ,Ferrous metals,0.0
Mexico,Ferrous metals,0.0
Russia,Ferrous metals,0.0
Brazil,Ferrous metals,2.121666760529036
South Africa,Ferrous metals,0.854497324181863
Argentina,Ferrous metals,2.6625190970770802
Indonesia,Ferrous metals,4.1614107007836
Other,Ferrous metals,1.8435350006776083
USA,Non-metallic minerals,0.0
EU-15,Non-metallic minerals,0.0
EU-27,Non-metallic minerals,0.010301604888525261
Europe_Non_EU,Non-metallic minerals,0.0
Japan,Non-metallic minerals,0.550244516376418
China,Non-metallic minerals,2.938731084824422
India,Non-metallic minerals,4.851743132144803
South Korea,Non-metallic minerals,1.424925524615396
Canada,Non-metallic minerals,0.0
Australia_NZ,Non-metallic minerals,0.0
Mexico,Non-metallic minerals,0.0
Russia,Non-metallic minerals,0.0
Brazil,Non-metallic minerals,2.121666760529036
South Africa,Non-metallic minerals,0.854497324181863
Argentina,Non-metallic minerals,2.6625190970770802
Indonesia,Non-metallic minerals,4.1614107007836
Other,Non-metallic minerals,1.8435350006776083
USA,Construction,0.0
EU-15,Construction,0.0
EU-27,Construction,0.0
Europe_Non_EU,Construction,0.0
Japan,Construction,0.0
