macro_region,Power Supply,Ferrous metals,Non-metallic minerals,Construction,Land transport,Water transport,Warehousing,Agriculture,Market Services,Non Market Services
USA,2.533490571209068,2.280141514088161,2.280141514088161,0.0,2.533490571209068,2.533490571209068,2.533490571209068,0.0,0.0,0.0
EU-15,1.7242534586921319,1.5518281128229185,1.5518281128229185,0.0,1.7242534586921319,1.7242534586921319,1.7242534586921319,0.0,0.0,0.0
EU-27,2.4684151489337984,2.221573634040418,2.221573634040418,0.0,2.4684151489337984,2.4684151489337984,2.4684151489337984,0.0,0.0,0.0
Europe_Non_EU,3.6242103535571943,3.261789318201473,3.261789318201473,0.0,3.6242103535571943,3.6242103535571943,3.6242103535571943,0.0,0.0,0.0
Japan,1.401037752428331,1.2609339771854982,1.2609339771854982,0.0,1.401037752428331,1.401037752428331,1.401037752428331,0.0,0.0,0.0
China,4.407814087223507,3.967032678501157,3.967032678501157,0.0,4.407814087223507,4.407814087223507,4.407814087223507,0.0,0.0,0.0
India,6.38850134769571,5.749651212926138,5.749651212926138,0.0,6.38850134769571,6.38850134769571,6.38850134769571,0.0,0.0,0.0
South Korea,3.3380895960589,3.00428063645301,3.00428063645301,0.0,3.3380895960589,3.3380895960589,3.3380895960589,0.0,0.0,0.0
Canada,0.543014735361713,0.488713261825541,0.488713261825541,0.0,0.543014735361713,0.543014735361713,0.543014735361713,0.0,0.0,0.0
Australia_NZ,2.52001542216082,2.2680138799447382,2.2680138799447382,0.0,2.52001542216082,2.52001542216082,2.52001542216082,0.0,0.0,0.0
Mexico,3.379091433895611,3.0411822905060513,3.0411822905060513,0.0,3.379091433895611,3.379091433895611,3.379091433895611,0.0,0.0,0.0
Russia,4.094363429262465,3.6849270863362182,3.6849270863362182,0.0,4.094363429262465,4.094363429262465,4.094363429262465,0.0,0.0,0.0
Brazil,2.6181309105874053,2.3563178195286643,2.3563178195286643,0.0,2.6181309105874053,2.6181309105874053,2.6181309105874053,0.0,0.0,0.0
South Africa,1.715942406471513,1.544348165824362,1.544348165824362,0.0,1.715942406471513,1.715942406471513,1.715942406471513,0.0,0.0,0.0
Argentina,3.929304415701123,3.536373974131011,3.536373974131011,0.0,3.929304415701123,3.929304415701123,3.929304415701123,0.0,0.0,0.0
Indonesia,3.898726905692511,3.508854215123261,3.508854215123261,0.0,3.898726905692511,3.898726905692511,3.898726905692511,0.0,0.0,0.0
Other,3.354757760672468,3.0192819846052212,3.0192819846052212,0.0,3.354757760672468,3.354757760672468,3.354757760672468,0.0,0.0,0.0
