Region,Sector,Value
USA,Power Supply,2.533490571209068
EU-15,Power Supply,1.7242534586921319
EU-27,Power Supply,2.4684151489337984
Europe_Non_EU,Power Supply,3.6242103535571943
Japan,Power Supply,1.401037752428331
China,Power Supply,4.407814087223507
India,Power Supply,6.38850134769571
South Korea,Power Supply,3.3380895960589
Canada,Power Supply,0.543014735361713
Australia_NZ,Power Supply,2.52001542216082
Mexico,Power Supply,3.379091433895611
Russia,Power Supply,4.094363429262465
Brazil,Power Supply,2.6181309105874053
South Africa,Power Supply,1.715942406471513
Argentina,Power Supply,3.929304415701123
Indonesia,Power Supply,3.898726905692511
Other,Power Supply,3.354757760672468
USA,Ferrous metals,2.280141514088161
EU-15,Ferrous metals,1.5518281128229185
EU-27,Ferrous metals,2.221573634040418
Europe_Non_EU,Ferrous metals,3.261789318201473
Japan,Ferrous metals,1.2609339771854982
China,Ferrous metals,3.967032678501157
India,Ferrous metals,5.749651212926138
South Korea,Ferrous metals,3.00428063645301
Canada,Ferrous metals,0.488713261825541
Australia_NZ,Ferrous metals,2.2680138799447382
Mexico,Ferrous metals,3.0411822905060513
Russia,Ferrous metals,3.6849270863362182
Brazil,Ferrous metals,2.3563178195286643
South Africa,Ferrous metals,1.544348165824362
Argentina,Ferrous metals,3.536373974131011
Indonesia,Ferrous metals,3.508854215123261
Other,Ferrous metals,3.0192819846052212
USA,Non-metallic minerals,2.280141514088161
EU-15,Non-metallic minerals,1.5518281128229185
EU-27,Non-metallic minerals,2.221573634040418
Europe_Non_EU,Non-metallic minerals,3.261789318201473
Japan,Non-metallic minerals,1.2609339771854982
China,Non-metallic minerals,3.967032678501157
India,Non-metallic minerals,5.749651212926138
South Korea,Non-metallic minerals,3.00428063645301
Canada,Non-metallic minerals,0.488713261825541
Australia_NZ,Non-metallic minerals,2.2680138799447382
Mexico,Non-metallic minerals,3.0411822905060513
Russia,Non-metallic minerals,3.6849270863362182
Brazil,Non-metallic minerals,2.3563178195286643
South Africa,Non-metallic minerals,1.544348165824362
Argentina,Non-metallic minerals,3.536373974131011
Indonesia,Non-metallic minerals,3.508854215123261
Other,Non-metallic minerals,3.0192819846052212
USA,Construction,0.0
EU-15,Construction,0.0
EU-27,Construction,0.0
Europe_Non_EU,Construction,0.0
Japan,Construction,0.0
China,Construction,0.0
India,Construction,0.0
South Korea,Construction,0.0
Canada,Construction,0.0
Australia_NZ,Construction,0.0
Mexico,Construction,0.0
Russia,Construction,0.0
Brazil,Construction,0.0
South Africa,Construction,0.0
Argentina,Construction,0.0
Indonesia,Construction,0.0
Other,Construction,0.0
USA,Land transport,2.533490571209068
EU-15,Land transport,1.7242534586921319
EU-27,Land transport,2.4684151489337984
Europe_Non_EU,Land transport,3.6242103535571943
Japan,Land transport,1.401037752428331
China,Land transport,4.407814087223507
India,Land transport,6.38850134769571
South Korea,Land transport,3.3380895960589
Canada,Land transport,0.543014735361713
Australia_NZ,Land transport,2.52001542216082
Mexico,Land transport,3.379091433895611
Russia,Land transport,4.094363429262465
Brazil,Land transport,2.6181309105874053
South Africa,Land transport,1.715942406471513
Argentina,Land transport,3.929304415701123
Indonesia,Land transport,3.898726905692511
Other,Land transport,3.354757760672468
USA,Water transport,2.533490571209068
EU-15,Water transport,1.7242534586921319
EU-27,Water transport,2.4684151489337984
Europe_Non_EU,Water transport,3.6242103535571943
Japan,Water transport,1.401037752428331
China,Water transport,4.407814087223507
India,Water transport,6.38850134769571
South Korea,Water transport,3.3380895960589
Canada,Water transport,0.543014735361713
Australia_NZ,Water transport,2.52001542216082
Mexico,Water transport,3.379091433895611
Russia,Water transport,4.094363429262465
Brazil,Water transport,2.6181309105874053
South Africa,Water transport,1.715942406471513
Argentina,Water transport,3.929304415701123
Indonesia,Water transport,3.898726905692511
Other,Water transport,3.354757760672468
USA,Warehousing,2.533490571209068
EU-15,Warehousing,1.7242534586921319
EU-27,Warehousing,2.4684151489337984
Europe_Non_EU,Warehousing,3.6242103535571943
Japan,Warehousing,1.401037752428331
China,Warehousing,4.407814087223507
India,Warehousing,6.38850134769571
South Korea,Warehousing,3.3380895960589
Canada,Warehousing,0.543014735361713
Australia_NZ,Warehousing,2.52001542216082
Mexico,Warehousing,3.379091433895611
Russia,Warehousing,4.094363429262465
Brazil,Warehousing,2.6181309105874053
South Africa,Warehousing,1.715942406471513
Argentina,Warehousing,3.929304415701123
Indonesia,Warehousing,3.898726905692511
Other,Warehousing,3.354757760672468
USA,Agriculture,0.0
