country,macro_region
Argentina,Argentina
Austria,EU-27
Belgium,EU-27
Brazil,Brazil
Bulgaria,EU-27
Canada,Canada
China,China
Croatia,EU-27
Cyprus,EU-27
Czechia,EU-27
Denmark,EU-27
Estonia,EU-27
Finland,EU-27
France,EU-27
Germany,EU-27
Greece,EU-27
Hungary,EU-27
India,India
Indonesia,Indonesia
Ireland,EU-27
Italy,EU-27
Japan,Japan
Latvia,EU-27
Lithuania,EU-27
Luxembourg,EU-27
Malta,EU-27
Netherlands,EU-27
Poland,EU-27
Portugal,EU-27
Romania,EU-27
Russia,Russia
Saudi Arabia,Other
Slovakia,EU-27
Slovenia,EU-27
South Africa,South Africa
South Korea,South Korea
Spain,EU-27
Sweden,EU-27
Turkey,Other
United Kingdom,Europe_Non_EU
