Region,Supply,Other Energy Supply,Electricity,Steel,Cement,Chemicals,Other Industry,Industry,Transportation,AFOLU,Other
USA,0.6558601166646619,0.7296103418924691,0.6363671313806358,0.17319381296991518,0.32905373764650986,0.4039417834979913,0.2854459108200458,0.30524283884688624,0.23352355311376172,0.47293951059725264,0.04593423841437863
EU-15,0.8691125121158216,1.0,0.7876582836512137,0.29159783673137946,0.36396084098402964,0.5481551928349244,0.3170583843769391,0.3494976984073326,0.19939827053484002,0.04674114491898346,0.2961436307441418
Europe_Non_EU,0.577584494233998,0.5148510131506682,0.588830225287732,0.4010006824823948,0.3892194342195805,0.31300047773055767,0.38996032848427,0.3854838719520013,0.20414219334730443,0.0289761734125961,0.4030215934377665
Japan,0.5525916851108521,1.0,0.512526005659771,0.29589930863329433,0.39631670163356497,0.2788964790656889,0.2446489275979571,0.29244979234017193,0.12799507343241917,1.1687955590146348e-06,0.19194037359751373
China,0.5357512255627155,0.6199046769581549,0.5092826881765633,0.3692823404729627,0.3839481031783192,0.3542675268819381,0.4081740384240069,0.3846063702298177,0.21842107478531045,1.5374181931325426e-07,0.17048181509237695
India,0.5930928571896725,0.5522263197692094,0.5989738302549865,0.5585921441354332,0.46428879366442355,0.27088107298223824,0.456072391028473,0.46997758674914936,0.3893533314486336,0.09631301121443793,0.18548366055931484
South Korea,0.5221350658138586,0.6609496435281751,0.5019709191418656,0.455473209344825,0.4437816071143793,1.0,0.40626221190748807,0.47044660200403277,0.19884300908059743,,0.14603464947283473
Canada,0.8875337399831564,0.6878318230515108,1.0,0.4144577580448171,0.43889462804698914,0.6845605122420616,0.33427243527610306,0.37121146128174587,0.22218852134314837,1.0,0.4104077249284213
Australia_NZ,0.7797581607122855,1.0,0.6355111816562438,0.27063657558126486,0.3976969129263072,0.7545588297363116,0.3437862125870237,0.35452904542488833,0.26294132874276066,0.7366242853542422,0.4251304548115285
Taiwan,0.5000907299582976,0.4659893242429934,0.5019890025967747,0.34302426220481774,0.3891857680931872,0.79975050433722,0.34959214465552424,0.3598520468035217,0.24921754509550365,1.0,0.19939257959069204
Mexico,0.5018566139840525,0.3287919698603057,0.6014508009936633,0.41980616638317364,0.4495671540687074,0.3055420872694313,0.37926682004957707,0.38925896593610937,0.3065786702038535,0.1956906129997127,0.4017381532780433
Russia,0.5192695064465315,0.4793871402687627,0.5981993396094436,0.3231566852895823,0.41722180989545415,0.3290740848658161,0.24784696994458977,0.2988976658819884,0.2556020962929775,,0.3560468784990134
Brazil,1.0,1.0,0.8617067946110106,0.5797699930240194,0.5502326246539835,1.0,0.5229895005529415,0.5990799459234356,0.37868086291559283,0.5212501872644519,0.22031299013401215
South Africa,0.5314389585431177,0.5511908586477279,0.5258501311438744,0.32439669334525195,0.343127982348869,0.38090688316234933,0.360753485266987,0.35624524709531763,0.2985873950651981,0.22879390339116204,0.1809113066405546
Argentina,0.7407412529343901,0.9292236254861531,0.6120479769725073,0.4953821329909307,0.5001272382353653,1.0,0.3692538132849927,0.4453872464669571,0.3566809621955181,0.24852867795661523,0.2285092462707713
