Region,Sector,Value
USA,Supply,0.6558601166646619
EU-15,Supply,0.8691125121158216
Europe_Non_EU,Supply,0.577584494233998
Japan,Supply,0.5525916851108521
China,Supply,0.5357512255627155
India,Supply,0.5930928571896725
South Korea,Supply,0.5221350658138586
Canada,Supply,0.8875337399831564
Australia_NZ,Supply,0.7797581607122855
Taiwan,Supply,0.5000907299582976
Mexico,Supply,0.5018566139840525
Russia,Supply,0.5192695064465315
Brazil,Supply,1.0
South Africa,Supply,0.5314389585431177
Argentina,Supply,0.7407412529343901
USA,Other Energy Supply,0.7296103418924691
EU-15,Other Energy Supply,1.0
Europe_Non_EU,Other Energy Supply,0.5148510131506682
Japan,Other Energy Supply,1.0
China,Other Energy Supply,0.6199046769581549
India,Other Energy Supply,0.5522263197692094
South Korea,Other Energy Supply,0.6609496435281751
Canada,Other Energy Supply,0.6878318230515108
Australia_NZ,Other Energy Supply,1.0
Taiwan,Other Energy Supply,0.4659893242429934
Mexico,Other Energy Supply,0.3287919698603057
Russia,Other Energy Supply,0.4793871402687627
Brazil,Other Energy Supply,1.0
South Africa,Other Energy Supply,0.5511908586477279
Argentina,Other Energy Supply,0.9292236254861531
USA,Electricity,0.6363671313806358
EU-15,Electricity,0.7876582836512137
Europe_Non_EU,Electricity,0.588830225287732
Japan,Electricity,0.512526005659771
China,Electricity,0.5092826881765633
India,Electricity,0.5989738302549865
South Korea,Electricity,0.5019709191418656
Canada,Electricity,1.0
Australia_NZ,Electricity,0.6355111816562438
Taiwan,Electricity,0.5019890025967747
Mexico,Electricity,0.6014508009936633
Russia,Electricity,0.5981993396094436
Brazil,Electricity,0.8617067946110106
South Africa,Electricity,0.5258501311438744
Argentina,Electricity,0.6120479769725073
USA,Steel,0.17319381296991518
EU-15,Steel,0.29159783673137946
Europe_Non_EU,Steel,0.4010006824823948
Japan,Steel,0.29589930863329433
China,Steel,0.3692823404729627
India,Steel,0.5585921441354332
South Korea,Steel,0.455473209344825
Canada,Steel,0.4144577580448171
Australia_NZ,Steel,0.27063657558126486
Taiwan,Steel,0.34302426220481774
Mexico,Steel,0.41980616638317364
Russia,Steel,0.3231566852895823
Brazil,Steel,0.5797699930240194
South Africa,Steel,0.32439669334525195
Argentina,Steel,0.4953821329909307
USA,Cement,0.32905373764650986
EU-15,Cement,0.36396084098402964
Europe_Non_EU,Cement,0.3892194342195805
Japan,Cement,0.39631670163356497
China,Cement,0.3839481031783192
India,Cement,0.46428879366442355
South Korea,Cement,0.4437816071143793
Canada,Cement,0.43889462804698914
Australia_NZ,Cement,0.3976969129263072
Taiwan,Cement,0.3891857680931872
Mexico,Cement,0.4495671540687074
Russia,Cement,0.41722180989545415
Brazil,Cement,0.5502326246539835
South Africa,Cement,0.343127982348869
Argentina,Cement,0.5001272382353653
USA,Chemicals,0.4039417834979913
EU-15,Chemicals,0.5481551928349244
Europe_Non_EU,Chemicals,0.31300047773055767
Japan,Chemicals,0.2788964790656889
China,Chemicals,0.3542675268819381
India,Chemicals,0.27088107298223824
South Korea,Chemicals,1.0
Canada,Chemicals,0.6845605122420616
Australia_NZ,Chemicals,0.7545588297363116
Taiwan,Chemicals,0.79975050433722
Mexico,Chemicals,0.3055420872694313
Russia,Chemicals,0.3290740848658161
Brazil,Chemicals,1.0
South Africa,Chemicals,0.38090688316234933
Argentina,Chemicals,1.0
USA,Other Industry,0.2854459108200458
EU-15,Other Industry,0.3170583843769391
Europe_Non_EU,Other Industry,0.38996032848427
Japan,Other Industry,0.2446489275979571
China,Other Industry,0.4081740384240069
India,Other Industry,0.456072391028473
South Korea,Other Industry,0.40626221190748807
Canada,Other Industry,0.33427243527610306
Australia_NZ,Other Industry,0.3437862125870237
Taiwan,Other Industry,0.34959214465552424
Mexico,Other Industry,0.37926682004957707
Russia,Other Industry,0.24784696994458977
Brazil,Other Industry,0.5229895005529415
South Africa,Other Industry,0.360753485266987
Argentina,Other Industry,0.3692538132849927
USA,Industry,0.30524283884688624
EU-15,Industry,0.3494976984073326
Europe_Non_EU,Industry,0.3854838719520013
Japan,Industry,0.29244979234017193
China,Industry,0.3846063702298177
India,Industry,0.46997758674914936
South Korea,Industry,0.47044660200403277
Canada,Industry,0.37121146128174587
Australia_NZ,Industry,0.35452904542488833
Taiwan,Industry,0.3598520468035217
Mexico,Industry,0.38925896593610937
Russia,Industry,0.2988976658819884
Brazil,Industry,0.5990799459234356
South Africa,Industry,0.35624524709531763
Argentina,Industry,0.4453872464669571
USA,Transportation,0.23352355311376172
EU-15,Transportation,0.19939827053484002
Europe_Non_EU,Transportation,0.20414219334730443
Japan,Transportation,0.12799507343241917
China,Transportation,0.21842107478531045
India,Transportation,0.3893533314486336
South Korea,Transportation,0.19884300908059743
Canada,Transportation,0.22218852134314837
Australia_NZ,Transportation,0.26294132874276066
Taiwan,Transportation,0.24921754509550365
Mexico,Transportation,0.3065786702038535
Russia,Transportation,0.2556020962929775
Brazil,Transportation,0.37868086291559283
South Africa,Transportation,0.2985873950651981
Argentina,Transportation,0.3566809621955181
USA,AFOLU,0.47293951059725264
EU-15,AFOLU,0.04674114491898346
Europe_Non_EU,AFOLU,0.0289761734125961
Japan,AFOLU,1.1687955590146348e-06
China,AFOLU,1.5374181931325426e-07
India,AFOLU,0.09631301121443793
South Korea,AFOLU,
Canada,AFOLU,1.0
Australia_NZ,AFOLU,0.7366242853542422
Taiwan,AFOLU,1.0
Mexico,AFOLU,0.1956906129997127
Russia,AFOLU,
Brazil,AFOLU,0.5212501872644519
South Africa,AFOLU,0.22879390339116204
Argentina,AFOLU,0.24852867795661523
USA,Other,0.04593423841437863
EU-15,Other,0.2961436307441418
Europe_Non_EU,Other,0.4030215934377665
Japan,Other,0.19194037359751373
China,Other,0.17048181509237695
India,Other,0.18548366055931484
South Korea,Other,0.14603464947283473
Canada,Other,0.4104077249284213
Australia_NZ,Other,0.4251304548115285
Taiwan,Other,0.19939257959069204
Mexico,Other,0.4017381532780433
Russia,Other,0.3560468784990134
Brazil,Other,0.22031299013401215
South Africa,Other,0.1809113066405546
Argentina,Other,0.2285092462707713
